Property_type,Description,Location,Price,Features
Apartamento en venta,Edificio Escobar,"Antiguo Campestre, Bucaramanga, Santander",240000000 pesos,"['110 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento De Interés Social En Piedecuesta,"Av 17 7w, Piedecuesta, Santander",140000000 pesos,"['51 m² cubiertos', '3 habs.']"
Local en venta,Excelente Renta Comercial,"Cañaveral., Bucaramanga, Santander",1080000000 pesos,['280 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Bucaramanga Alfonso Lopez,"Alfonso López I Etapa, Bucaramanga, Santander",150000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  apartamento San Alonso- Bucaramanga,"Bucaramanga, Santander",160000000 pesos,"['45 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apto En Barrio Soto Mayor En Bucaramanga.,"Soto Mayor, Bucaramanga, Santander",350000000 pesos,"['91 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Residencial Torreladera,"Altos De Cabecera, Bucaramanga, Santander",475000000 pesos,"['132 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa En El Barrio San Francisco,"San Francisco, Bucaramanga, Santander",1500000000 pesos,"['592 m² cubiertos', '7 habs.']"
Apartamento en venta,En Venta Económico Apartamento Arrayanes Floridablanca,"Arrayanes, Floridablanca, Santander",132000000 pesos,"['66 m² cubiertos', '3 habs.']"
Apartamento en venta,"Vendo Apto, Entrega Inmediata, Zona Campohermoso","Campohermoso, Bucaramanga, Santander",192000000 pesos,"['67 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento A Estrenar Zona Nuevo Sotomayor,"Nuevo Sotomayor, Bucaramanga, Santander",330000000 pesos,"['85 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Barrancabermeja Villa Rosa,"Barrancabermeja, Santander",160000000 pesos,"['68 m² cubiertos', '2 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Ricaurte,"Ricaurte, Bucaramanga, Santander",650000000 pesos,"['231 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Bucaramanga,"12 De Octubre, Bucaramanga, Santander",333300000 pesos,"['118 m² cubiertos', '1 hab.']"
Apartamento en venta,Vendo Apartamento En El Conjunto U 14/26,"San Francisco, Bucaramanga, Santander",180000000 pesos,"['54 m² cubiertos', '2 habs.']"
Casa en venta,En Venta De Casa Lote En Floridablanca,"Casco Urbano Floridablanca, Floridablanca, Santander",400000000 pesos,"['151 m² cubiertos', '5 habs.']"
Apartamento en venta,Venta  Apartamento En Conjunto Balcones De Ruitoque Floridablanca,"Balcones De Ruitoque, Floridablanca, Santander",420000000 pesos,"['94 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Antonia Santos Bucaramanga Segundo Piso,"Antonia Santos, Bucaramanga, Santander",175000000 pesos,"['59 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En Mirador De San Luis Barrio San Luis Diamante Ii,"Diamante 2, Bucaramanga, Santander",220000000 pesos,"['66 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Hermoso Apartamento Sector Nuevo Sotomayor,"Nuevo Sotomayor, Bucaramanga, Santander",355000000 pesos,"['89 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Altos De Cabecera,"Cabecera Del Llano, Bucaramanga, Santander",520000000 pesos,"['105 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Bolivar,"Bolívar, Bucaramanga, Santander",220000000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta -guatiguara-piedecuesta,"Piedecuesta, Santander",245000000 pesos,"['71 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo apartamento Sotomayor Bucaramanga,"Bucaramanga, Santander",260000000 pesos,"['78 m² cubiertos', '3 habs.']"
Casa en venta,Cabecera 17x25,"Cabecera, Bucaramanga, Santander",1890000000 pesos,"['527 m² cubiertos', '6 habs.']"
Apartamento en venta,Vendo  apartamento  Piedecuesta,"Bucaramanga, Santander",260000000 pesos,"['71 m² cubiertos', '3 habs.']"
Apartamento en venta,"Apartamento En Venta, Sector Diamnate 2","Barrio Diamante 2, Bucaramanga, Santander",280000000 pesos,"['83 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apto Cartagena Portales De San Fernando,"Cartagena, Bolivar, Santander",128000000 pesos,"['54 m² cubiertos', '2 habs.']"
Edificio en venta,Vendo Edificio En Bucaramanga 1000 Mts,"San Francisco, Bucaramanga, Santander",2100000000 pesos,"['1,000 m² cubiertos']"
Apartamento en venta,En Venta Apartaestudio Gaira Cañaveral Floridablanca,"Cañaveral, Floridablanca, Santander",220000000 pesos,"['57 m² cubiertos', '1 hab.']"
Apartamento en venta,Vendo Apartamento En El Conjunto Torremolinos Barrio Provenza,"Provenza, Bucaramanga, Santander",230000000 pesos,"['83 m² cubiertos', '3 habs.']"
Apartamento en venta,Torres De Sevilla,"Casco Antiguo, Floridablanca, Santander",280000000 pesos,"['107 m² cubiertos', '3 habs.']"
Casa en venta,Casa Florida Blanca Santander - Se Vende/permuta,"Floridablanca, Santander",880000000 pesos,"['450 m² cubiertos', '9 habs.']"
Apartamento en venta,Vendo  apartamento Provenza-bucaramanga,"Bucaramanga, Santander",230000000 pesos,"['72 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  apartamento Alfonso Lopez-bucaramanga,"Bucaramanga, Santander",190000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento Sector Nuevo Campestre,"Nuevo Sotomayor 1, Bucaramanga, Santander",480000000 pesos,"['106 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Mejoras Publicas,"Mejoras Públicas, Bucaramanga, Santander",186000000 pesos,"['78 m² cubiertos', '2 habs.']"
Casa en venta,Casa En Venta En Bucaramanga San Miguel,"San Miguel, Bucaramanga, Santander",850000000 pesos,"['495 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Ruitoque,"Floridablanca, Santander",230000000 pesos,"['68 m² cubiertos', '2 habs.']"
Casa en venta,Vendo  casa La Ceiba - Bucaramanga,"Bucaramanga, Santander",450000000 pesos,"['150 m² cubiertos', '4 habs.']"
Apartamento en venta,En Venta Apartamento Itza Rivera Maya Nuevo Sotomayor Económico,"Sotomayor, Bucaramanga, Santander",215000000 pesos,"['52 m² cubiertos', '2 habs.']"
Apartamento en venta,En Venta Apartamento Nuevo Girardot Bucaramanga Económico,"Girardot, Bucaramanga, Santander",132000000 pesos,"['56 m² cubiertos', '3 habs.']"
Apartamento en venta,"En Venta Apartamento Sacromonte, Conjunto Abadias Floridablanca","Floridablanca, Santander",275000000 pesos,"['75 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Residencial Quantum Etapa 2,"Casco Antiguo, Floridablanca, Santander",190000000 pesos,"['51 m² cubiertos', '2 habs.']"
Apartamento en venta,Arriendo Vendo Apartamento En El Edifico Treboli Barrio Provenza,"Provenza, Bucaramanga, Santander",230000000 pesos,"['65 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lotes En Venta Floridablanca 815-975,"Floridablanca, Floridablanca, Santander",382767078 pesos,['650 m² totales']
Apartamento en venta,Venta De Apartamento En El Barrio San Francisco Bucaramanga,"San Alonso, Bucaramanga, Santander",310000000 pesos,"['100 m² cubiertos', '3 habs.']"
Casa en venta,Casa En  Vereda Las Llanadas 22-1093   Rah Co: 21-2047,"Vereda Las Llanadas, Piedecuesta, Santander",550000000 pesos,"['130 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En El Conjunto El Cielo Barrio San Francisco,"San Francisco, Bucaramanga, Santander",200000000 pesos,"['67 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa San Alonso,"Norte, Bucaramanga, Santander",550000000 pesos,"['1 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento Giron-santander,"Girón, Santander",155000000 pesos,"['59 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamento Entrega Inmediata Piedecuesta,"Barro Blanco, Piedecuesta, Santander",124254167 pesos,"['51 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Espectacular Local Renta En Cabecera,"Cabecera Del Llano, Bucaramanga, Santander",980000000 pesos,['220 m² totales']
Local en venta,Local En Venta En Bucaramanga Antiguo Campestre,"Campohermoso, Bucaramanga, Santander",1600000000 pesos,['300 m² totales']
Apartamento en venta,Apartamento En Venta En Floridablanca Anillo Vial,"Floridablanca, Santander",285000000 pesos,"['77 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",265000000 pesos,"['74 m² cubiertos', '2 habs.']"
Local en venta,Oficina En Venta En Bucaramanga Mejoras Publicas,"Mejoras Públicas, Bucaramanga, Santander",310000000 pesos,['125 m² cubiertos']
Apartamento en venta,Vendo Apartamento En El Edificio Dimonetti Barrio San Alonso,"San Alonso, Bucaramanga, Santander",205000000 pesos,"['66 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Conjunto Residencial Coomultrasan De Probidad,"Provenza, Bucaramanga, Santander",160000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En El Conjunto Torino 200 Barrio Floridablanca,"Anillo Vial, Floridablanca, Santander",265000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo   Excelente Partamento El Prado- Bucaramanga,"Bucaramanga, Santander",290000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamento Sotomayor Bucaramanga,"42 29, Sotomayor, Bucaramanga, Santander",325562000 pesos,"['53 m² cubiertos', '2 habs.']"
Apartamento en venta,"Vendo Apartamento, Estrenar Sector Parque Del Agua","Barrio Alvarez, Bucaramanga, Santander",292000000 pesos,"['96 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"San Francisco, Bucaramanga, Santander",370000000 pesos,"['94 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Monviso Doble Balcón Cacique Bucaramanga,"Cacique, Bucaramanga, Santander",198000000 pesos,"['64 m² cubiertos', '2 habs.']"
Casa en venta,Vendo Casa En El Barrio Comuneros,"Comuneros, Bucaramanga, Santander",400000000 pesos,"['230 m² cubiertos', '5 habs.']"
Apartamento en venta,Vendo  apartamento La Aurora- Bucaramanga,"Bucaramanga, Santander",235000000 pesos,"['120 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  predio Vereda La Victoria- Rionegro Santander,"Rionegro, Santander",300000000 pesos,"['8,000 m² cubiertos', '4 habs.']"
Local en venta,Locales En Venta Cabecera 815-949,"Cabecera, Cabecera Del Llano, Bucaramanga, Santander",645286726 pesos,['62 m² cubiertos']
Apartamento en venta,En Venta Apartamento Conjunto Santa Mónica El Tejar Bucaramanga,"Tejar, Bucaramanga, Santander",200000000 pesos,"['60 m² cubiertos', '3 habs.']"
Apartamento en venta,"Se Vende Apartamento En Bucaramanga, Santander.","Cabecera Del Llano, Bucaramanga, Santander",606201200 pesos,"['106 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Conjunto San Gabriel Terrazas Bucaramanga,"Terrazas, Bucaramanga, Santander",265000000 pesos,"['86 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En El Edificio Parque Alarcon Barrio Alarcon,"Alarcón, Bucaramanga, Santander",230000000 pesos,"['67 m² cubiertos', '3 habs.']"
Apartamento en venta,Se Vende Apartamento En Barrio Bolarqui Bucaramanga,"Sotomayor, Bucaramanga, Santander",260000000 pesos,"['126 m² cubiertos', '4 habs.']"
Oficina en venta,Oficina 502 - 45mtrs2 Cañaveral Floridablanca,"Cañaveral, Floridablanca, Santander",270000000 pesos,['45 m² cubiertos']
Apartamento en venta,Vendo Apartamento Cabecera Bucaramanga,"Cabecera, Bucaramanga, Santander",1350000000 pesos,"['260 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo   Excelente Apartamento Makadamia-cañaveral,"Floridablanca, Santander",350000000 pesos,"['87 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Floridablanca,"Floridablanca, Santander",287000000 pesos,"['87 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamento En San Gil,"El Malecon, San Gil, Santander",200000000 pesos,"['140 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Apartamento En El Conjunto Bosques Del Venado Barrio Alvarez,"Alvarez, Bucaramanga, Santander",262000000 pesos,"['75 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En El Edificio Parque Santoto Barrio Comuneros,"Comuneros, Bucaramanga, Santander",180000000 pesos,"['78 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Permuta Apartamento Rosario Floridablanca,"Casco Urbano Floridablanca, Floridablanca, Santander",240000000 pesos,"['77 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Residencial Paralela 150,"El Bosque, Floridablanca, Santander",395000000 pesos,"['108 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta De Apartamento En El Anillo Vial Floridablanca,"Floridablanca, Santander",380000000 pesos,"['99 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta - Nuevo Sotomayor -  Bucaramanga,"Nuevo Sotomayor, Bucaramanga, Santander",200000000 pesos,"['51 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo Apartamento En El Edificio Qatar  Barrio San Alonso,"Nuevo Sotomayor, Bucaramanga, Santander",407000000 pesos,"['91 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Excelente Apartamento En Caminos Providenza- Anillo Vial,"Floridablanca, Santander",380000000 pesos,"['100 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Girón La Esmeralda,"Girón, Santander",170000000 pesos,"['83 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Mutualidad,"Mutualidad, Bucaramanga, Santander",204000000 pesos,"['64 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Torres De Aragon Cañaveral Remodelado Económico,"Cañaveral, Floridablanca, Santander",190000000 pesos,"['75 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Platinum San Alonso Bucaramanga,"San Alonso, Bucaramanga, Santander",295000000 pesos,"['84 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Montevechio Floridablanca Piso Bajo Económico,"Calle 200, Floridablanca, Santander",178000000 pesos,"['63 m² cubiertos', '3 habs.']"
Apartamento en venta,Arriendo Vendo Apartamento En El Edificio Treboli Barrio Provenza,"Provenza, Bucaramanga, Santander",230000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Sacromonte Oportunidad,"Sacromonte, Floridablanca, Santander",238000000 pesos,"['74 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  Excelente Apartamento San Francisco - Bucaramanga,"Bucaramanga, Santander",275000000 pesos,"['154 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  Apartamento Cañaveral- Floridablanca,"Floridablanca, Santander",580000000 pesos,"['128 m² cubiertos', '3 habs.']"
Local en venta,Locales Sobre Planos En Giron Santander,"Anillo Vial Giron Via Los Caneyes, Girón, Santander",170000000 pesos,['22 m² cubiertos']
Apartamento en venta,Vendo  apartamento Bosques Del Ato- Piedecuesta,"Piedecuesta, Santander",240000000 pesos,"['71 m² cubiertos', '3 habs.']"
Casa en venta,En Venta Casa Esquinera Con Local Floridablanca,"Casco Urbano Floridablanca, Floridablanca, Santander",580000000 pesos,"['138 m² cubiertos', '4 habs.']"
Casa en venta,Casa En Venta En Bucaramanga El Prado,"El Prado, Bucaramanga, Santander",590000000 pesos,"['208 m² cubiertos', '4 habs.']"
Apartamento en venta,"En Venta Apartamento Condominio El Lago, Cañaveral","Lagos, Floridablanca, Santander",175000000 pesos,"['57 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo Apartamento Sotomayor - Bucaramanga,"Bucaramanga, Santander",320000000 pesos,"['108 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Granjas De Provenza,"Granjas De Provenza, Bucaramanga, Santander",175000000 pesos,"['59 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo Apartamento Cañaveral Paralela 150,"Cañaveral Fosunab, Floridablanca, Santander",210000000 pesos,"['55 m² cubiertos', '2 habs.']"
Oficina en venta,Oficina En Venta En Bucaramanga Cabecera Del Llano,"Cabecera Del Llano, Bucaramanga, Santander",100000000 pesos,['14 m² totales']
Apartamento en venta,"En Venta Apartamento Torre 19, San Alonso","San Alonso, Bucaramanga, Santander",215000000 pesos,"['60 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo  Apartamento San Francisco-bucaramanga,"Bucaramanga, Santander",178000000 pesos,"['62 m² cubiertos', '2 habs.']"
Finca en venta,Finca De 17 Hectareas - Confines (sder),"Confines, Santander",700000000 pesos,['120 m² cubiertos']
Apartamento en venta,Venta Apartaestudio Monte Olivetto Floridablanca,"La Turena, Floridablanca, Santander",206000000 pesos,"['55 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Provenza,"Provenza, Bucaramanga, Santander",145000000 pesos,"['2 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo Apartamento En Edificio Rayenary De La Florida Barrio Florida,"Florida, Floridablanca, Santander",250000000 pesos,"['84 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamento En San Gil Zona Centro,"Puente De La Magdalena, San Gil, Santander",350000000 pesos,"['154 m² cubiertos', '4 habs.']"
Apartamento en venta,En Venta Amplio Apartamento San Francisco Bucaramanga,"San Francisco, Bucaramanga, Santander",269000000 pesos,"['113 m² cubiertos', '4 habs.']"
Casa en venta,Casa En  Los Cacaos(piedecuesta) Rah Co: 21-2050,"Los Cacaos, Piedecuesta, Santander",3325000000 pesos,"['350 m² cubiertos', '4 habs.']"
Casa en venta,Vendo Casa En El Barrio Conucos,"Conucos, Bucaramanga, Santander",1500000000 pesos,"['460 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo  apartamento Sotomayor-bucaramanga,"Bucaramanga, Santander",634000000 pesos,"['317 m² cubiertos', '3 habs.']"
Apartamento en venta,Se Vende Apartamento En Floridablanca,"Floridablanca, Santander",220000000 pesos,"['78 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta Apto Listo Habitar Sector Parque Del Agua,"Barrio Alvarez 1, Bucaramanga, Santander",284000000 pesos,"['93 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa Comercial En Sotomayor,"Sotomayor, Bucaramanga, Santander",2800000000 pesos,"['1,000 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Mutualidad,"Mutualidad, Bucaramanga, Santander",148000000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En Treviño Condominio,"Antonia Santos, Bucaramanga, Santander",295000000 pesos,"['79 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En Balcones De Ruitoque1 Barrio Floridablanca,"Florida, Floridablanca, Santander",335000000 pesos,"['95 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Excelente  apartamento Green Gold- Bucaramanga,"Bucaramanga, Santander",360000000 pesos,"['83 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"San Francisco, Bucaramanga, Santander",155000000 pesos,"['57 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En El Barrio La Concordia,"La Concordia, Bucaramanga, Santander",199000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Casa  Venta Sector Niza,"Floridablanca, Santander",370000000 pesos,"['120 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Excelente Apartamento Para Inversion(rentando)giron,"Giron Santander, Girón, Santander",168000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento San Francisco - Bucaramanga,"Bucaramanga, Santander",200000000 pesos,"['63 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  Apartamento Reserva De La Loma- Piedecuesta,"Piedecuesta, Santander",170000000 pesos,"['63 m² cubiertos', '3 habs.']"
Bodega en venta,Vendo Edificio De 4 Pisos Para Comercio,"San Francisco, Bucaramanga, Santander",2200000000 pesos,"['1,200 m² cubiertos']"
Casa en venta,Casa Barichara Sector Centro,"Zona Centro, Barichara, Santander",600000000 pesos,"['452 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Amoblado O Sin Amoblar Provenza Bucaramanga,"Provenza, Bucaramanga, Santander",170000000 pesos,"['58 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta  Apartamento Guayacanes Piedecuesta,"La Argentina, Piedecuesta, Santander",195000000 pesos,"['71 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En El Edificio Torre De San Felipe En Piedecuesta,"Centro, Piedecuesta, Santander",165000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Exclusivo Apartamento Rio Del Hato Piedecuesta,"Rio Del Hato, Piedecuesta, Santander",315000000 pesos,"['80 m² cubiertos', '3 habs.']"
Bodega en venta,Vendo  Apartamento Cañaveral- Floridablanca,"Floridablanca, Santander",410000000 pesos,['98 m² cubiertos']
Apartamento en venta,"Se Vende Apartamento En Bucaramanga, Santander.","Cabecera Del Llano, Bucaramanga, Santander",692218880 pesos,"['122 m² cubiertos', '3 habs.']"
Apartamento en venta,"Se Vende Apartamento En Bucaramanga, Santander.","Cabecera Del Llano, Bucaramanga, Santander",584760000 pesos,"['106 m² cubiertos', '3 habs.']"
Consultorio en venta,"Consultorios Médicos,piso No 6 De La Fun. Cardio","El Bosque-cañaveral, Floridablanca, Santander",1482000000 pesos,['312 m² cubiertos']
Apartamento en venta,"En Venta Apartamento Floridablanca, Uis Santotomás","Casco Urbano Floridablanca, Floridablanca, Santander",239000000 pesos,"['92 m² cubiertos', '3 habs.']"
Casa en venta,Conjunto Residencial Villas Del Mediterráneo (floridablanca),"El Bosque, Floridablanca, Santander",550000000 pesos,"['100 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Lote  1147 Metros Con Doble Frente Sobre La Rosita,"La Concordia, Bucaramanga, Santander",2500000000 pesos,"['1,147 m² totales']"
Apartamento en venta,Vendo apartamento San Alonso Bucaramanga,"Bucaramanga, Santander",155000000 pesos,"['46 m² cubiertos', '2 habs.']"
Apartamento en venta,En Venta Apartamento Nuevo Sotomayor Económico Bucaramanga,"Nuevo Sotomayor, Bucaramanga, Santander",175000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Edificio Daksa,"Antiguo Campestre, Bucaramanga, Santander",280000000 pesos,"['96 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Olympo 3 Habitaciones Floridablanca Santander,"Calle 200, Floridablanca, Santander",278000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Multifamiliar Vista Azul,"Palomitas, Floridablanca, Santander",290000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,"Apartamento En Venta En Provenza, Bucaramanga 22-1592 C.o","Provenza, Bucaramanga, Santander",270000000 pesos,"['84 m² cubiertos', '3 habs.']"
Oficina en venta,Oficina En Venta En Bucaramanga Bolarqui,"Bolarquí, Bucaramanga, Santander",1440000000 pesos,['240 m² cubiertos']
Lote y casalote en venta,Vendo Lote Mesetas Barichara Vda Lubigara 10.631 Mts,"Zona Periferica De Barichara  Entre 0 - 1 Km, Barichara, Santander",300000000 pesos,"['10,631 m² totales']"
Apartamento en venta,Vendo  Apartamento Cabecera-bucaramanga,"Bucaramanga, Santander",800000000 pesos,"['300 m² cubiertos', '3 habs.']"
Apartamento en venta,"Se Vende Apartamento En Giron, Santander.","Girón, Santander",201068000 pesos,"['77 m² cubiertos', '4 habs.']"
Apartamento en venta,Se Vende Apartaestudio En Bucaramanga.,"Bucaramanga, Santander",160000000 pesos,['40 m² cubiertos']
Lote y casalote en venta,Vendo Lote8 La Pradera Barichara,"Zona Periferica De Barichara Entre 1 - 3 Km, Barichara, Santander",200000000 pesos,"['2,522 m² totales']"
Casa en venta,Vendo Casa Cañaveral Comercial,"Cañaveral, Floridablanca, Santander",1500000000 pesos,"['250 m² cubiertos', '5 habs.']"
Casa en venta,Vendo  Espectacular Casa Cañaveral-floridablanca,"Floridablanca, Santander",880000000 pesos,"['256 m² cubiertos', '3 habs.']"
Apartamento en venta,"Se Vende Apartamento En Bucaramanga, Santander.","Cabecera Del Llano, Bucaramanga, Santander",573064800 pesos,"['106 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Cañaveral,"Floridablanca, Santander",670000000 pesos,"['160 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Barrancabermeja Pueblo Nuevo,"Barrancabermeja, Santander",234000000 pesos,"['65 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartaestudio En El Edificio Martha Cecilia Barrio Bolivar,"Bolivar, Santander",135000000 pesos,"['38 m² cubiertos', '1 hab.']"
Apartamento en venta,Vendo Casa En Pasadena Mu,"Bucaramanga, Santander",1300000000 pesos,"['270 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Apartamento San Alonso- Bucaramanga,"Bucaramanga, Santander",165000000 pesos,"['46 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo Apartamento Bucaramanga,"Bucaramanga, Santander",290000000 pesos,"['67 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento En El Barrio Fontana,"Fontana, Bucaramanga, Santander",195000000 pesos,"['92 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca El Carmen,"Floridablanca, Santander",168000000 pesos,"['61 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa En  Vereda Las Llanadas Mls 22-1093,"Vereda Las Llanadas, Piedecuesta, Santander",550000000 pesos,"['130 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Fanegada Barichara Vereda El Caucho,"Vereda El Caucho, Barichara, Santander",410000000 pesos,"['7,300 m² totales']"
Lote y casalote en venta,Lote En  Vereda Las Llanadas Rah Co: 21-2049,"Vereda Las Llanadas, Piedecuesta, Santander",750000000 pesos,"['35,155 m² totales']"
Casa en venta,Vendo   casa - El Prado,"Bucaramanga, Santander",850000000 pesos,"['192 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo  Apartamento Sotomayor-bucaramanga,"Bucaramanga, Santander",240000000 pesos,"['95 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo  Apartamento Alfonso Lopez-bucaramanga,"Bucaramanga, Santander",190000000 pesos,"['62 m² cubiertos', '3 habs.']"
Edificio en venta,En Venta Edificio En Construccion -la Concordia,"La Concordia, Bucaramanga, Santander",725000000 pesos,['553 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Barrancabermeja Colombia,"Barrancabermeja, Santander",340000000 pesos,"['104 m² cubiertos', '3 habs.']"
Apartamento en venta,"Venta Apartamento Ricaurte, Bucaramanga Santander","Ricaurte, Bucaramanga, Santander",264000000 pesos,"['66 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Apartamento Duplex En Edificio Diamante 90 Barrio Diamente Ii,"Diamante 2, Bucaramanga, Santander",270000000 pesos,"['75 m² cubiertos', '4 habs.']"
