Property_type,Description,Location,Price,Features
Apartamento en venta,Apartamento En Venta En Barrancabermeja Pueblo Nuevo,"Barrancabermeja, Santander",280000000 pesos,"['77 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento0 En Venta En Bucaramanga 22-1845 C.o,"Provenza, Bucaramanga, Santander",304200000 pesos,"['57 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Girón El Rincon De Giron,"Girón, Santander",130000000 pesos,"['54 m² cubiertos', '3 habs.']"
Apartamento en venta,"En Venta Apartaestudio Mutualidad Bucaramanga, Junto A La Santo Tomás","Bucaramanga, Santander",95000000 pesos,"['38 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento En Venta En Girón Girón,"Girón, Santander",120000000 pesos,"['55 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Barrancabermeja 22-1847 C.o,"Chapinero, Barrancabermeja, Santander",188100000 pesos,"['92 m² cubiertos', '3 habs.']"
Oficina en venta,Oficina En Venta En Bucaramanga 22-1851 C.o,"Bucaramanga, Santander",247500000 pesos,['45 m² cubiertos']
Apartamento en venta,"Venta De Apartamento En Floridablanca,  Conjunto Brizza","5 3a-17, Floridablanca, Santander",295000000 pesos,"['87 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento 3 Habitaciones 2 Baños,"Calle 32 #   32-20, Mejoras Públicas, Bucaramanga, Santander",240000000 pesos,"['71 m² cubiertos', '3 habs.']"
Local en venta,Se Vende Propiedad Con Local Comercial Acreditado En Puerto Parra Santander,"Cl. 9 #6a-07, Puerto Parra, Santander, Colombia, Puerto Parra, Santander",320000000 pesos,['180 m² cubiertos']
Finca en venta,Se Vende Finca Ganadera Con Abundante Agua,"4.5 Km Del Pueblo, Suaita, Santander",800000000 pesos,"['430,000 m² cubiertos']"
Lote y casalote en venta,Se Vende Parcela En Conjunto Campestre Villa Sofia,"Mesa De Los Santos, Los Santos, Santander",120000000 pesos,"['2,535 m² totales']"
Casa en venta,Vendo Y/o Arriendo Hermosa Casa En Valterra Cañaveral,"Cañaveral, Bucaramanga, Santander",820000000 pesos,"['234 m² cubiertos', '4 habs.']"
Finca en venta,Vendo Finca  En Los Santos Vereda El Guamito,"Los Santos, Santander",250000000 pesos,"['1,250 m² cubiertos', '4 habs.']"
Apartamento en venta,En Venta Apartamento Balcones De Provenza Económico.,"Provenza, Bucaramanga, Santander",130000000 pesos,"['60 m² cubiertos', '3 habs.']"
Finca en venta,La Palmita Vereda,"Barro Blanco, Piedecuesta, Santander",750000000 pesos,"['160 m² cubiertos', '3 habs.']"
Casa en venta,Campo Real,"Toledo Plata, Bucaramanga, Santander",230000000 pesos,"['96 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Hermosa Casa En Condominio Luxe,"Lagos Del Cacique, Bucaramanga, Santander",850000000 pesos,"['213 m² cubiertos', '3 habs.']"
